"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
2131,2025-07-03 16:13,5.5,20,29.30 N,129.50 E,일본 가고시마현 가고시마시 남남서쪽 275km 해역,지도
2130,2025-07-03 0:49,5,10,29.30 N,129.10 E,일본 가고시마현 가고시마시 남남서쪽 291km 해역,지도
2129,2025-07-02 15:26,5.5,10,29.20 N,129.20 E,일본 가고시마현 가고시마시 남남서쪽 297km 해역,지도
2128,2025-07-02 14:59,5.2,10,29.20 N,129.10 E,일본 가고시마현 가고시마시 남남서쪽 301km 해역,지도
2127,2025-07-02 14:51,5.1,-,29.30 N,129.10 E,일본 가고시마현 가고시마시 남남서쪽 291km 해역,지도
2126,2025-07-02 4:32,5,30,29.40 N,129.40 E,일본 가고시마현 가고시마시 남남서쪽 268km 해역,지도
2125,2025-06-30 18:33,5.1,30,29.40 N,129.30 E,일본 가고시마현 가고시마시 남남서쪽 272km 해역,지도
2124,2025-06-29 16:12,5.1,30,29.30 N,129.40 E,일본 가고시마현 가고시마시 남남서쪽 278km 해역,지도
2123,2025-06-28 17:32,6.6,10,60.96 S,38.95 W,칠레 푼타아레나스 남동쪽 2091km 해역,지도
2122,2025-06-28 8:07,6.1,102,5.28 N,126.10 E,필리핀 제너럴산토스 남동쪽 138km 해역,지도
2121,2025-06-26 7:16,6.2,10,35.56 S,17.12 W,남대서양 중앙 해령,지도
2120,2025-06-24 16:04,5,20,29.30 N,129.30 E,일본 가고시마현 가고시마시 남남서쪽 282km 해역,지도
2119,2025-06-24 10:58,6.3,10,7.98 N,129.93 E,필리핀 다바오 동북동쪽 488km 해역,지도
2118,2025-06-23 23:36,5,20,29.40 N,129.40 E,일본 가고시마현 가고시마시 남남서쪽 268km 해역,지도
2117,2025-06-22 17:15,5.2,20,29.30 N,129.40 E,일본 가고시마현 가고시마시 남남서쪽 278km 해역,지도
2116,2025-06-20 5:18,5,56,21.93 N,119.93 E,대만 가오슝시 남남서쪽 85km 해역,지도
2115,2025-06-19 8:08,6.1,-,42.80 N,146.40 E,일본 홋카이도 아사히카와시 동남동쪽 344km 해역,지도
2114,2025-06-14 3:35,6.1,10,46.12 N,153.44 E,러시아 캄차카반도 페트로파블롭스크-캄차츠키 남남서쪽 853km 해역,지도
2113,2025-06-11 20:00,6.4,31,23.36 N,121.68 E,대만 화롄현 남쪽 68km 해역,지도
2112,2025-06-08 22:08,6.3,10,4.51 N,73.14 W,콜롬비아 비야비센시오 북동쪽 68km 지역,지도
2111,2025-06-08 8:20,6.2,10,47.83 S,116.02 E,서인도양-남극 해령,지도
2110,2025-06-07 2:15,6.4,77,26.65 S,70.49 W,칠레 코피아포 북쪽 81km 지역,지도
2109,2025-06-02 3:52,6.3,-,41.70 N,143.70 E,일본 홋카이도 삿포로시 남동쪽 246km 해역,지도
2108,2025-06-01 7:26,6.2,10,27.84 S,178.08 W,통가 누쿠알로파 남남서쪽 800km 해역,지도
2107,2025-06-01 6:21,6,10,28.12 S,178.39 W,통가 누쿠알로파 남남서쪽 841km 해역,지도
2106,2025-05-31 23:28,6.1,10,27.73 S,177.91 W,통가 누쿠알로파 남남서쪽 782km 해역,지도
2105,2025-05-31 17:37,6.1,20,42.30 N,144.50 E,일본 홋카이도 아사히카와시 남동쪽 238km 해역,지도
2104,2025-05-30 14:36,6.2,10,53.32 S,9.16 E,남아프리카 공화국 케이프타운 남남서쪽 2264km 해역,지도
2103,2025-05-30 9:02,5.3,126,24.86 N,122.91 E,대만 이란현 동쪽 118km 해역,지도
2102,2025-05-26 17:47,5.3,50,42.30 N,143.10 E,일본 홋카이도 삿포로시 동남동쪽 167km 지역,지도
2101,2025-05-25 19:49,6,12,22.79 S,175.73 W,통가 누쿠알로파 남남서쪽 192km 해역,지도
2100,2025-05-24 1:33,6.1,10,56.49 S,147.53 E,호주 태즈메이니아주 호바트 남쪽 1514km 해역,지도
2099,2025-05-22 12:19,6.1,69,35.78 N,25.88 E,그리스 크레타섬 이라클리온 북동쪽 83km 해역,지도
2098,2025-05-21 0:05,6.4,10,3.85 S,144.77 E,파푸아뉴기니 마당 북서쪽 190km 해역,지도
2097,2025-05-17 19:22,6,92,14.77 S,74.16 W,페루 아야쿠초 남쪽 180km 지역,지도
2096,2025-05-14 13:15,6.4,243,18.72 S,175.28 W,통가 누쿠알로파 북쪽 269km 해역,지도
2095,2025-05-14 7:51,6.1,78,35.28 N,26.94 E,그리스 크레타섬 이라클리온 동쪽 163km 해역,지도
2094,2025-05-05 12:55,6,10,35.28 S,107.43 W,동태평양 남쪽 해령,지도
2093,2025-05-03 21:51,6,108,0.50 N,121.58 E,인도네시아 고론탈로 서쪽 165km 해역,지도
2092,2025-05-02 21:58,7.5,48,56.80 S,67.90 W,아르헨티나 우수아이아 남쪽 222km 해역,지도
