"국내 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,,,
number,origin_time,magnitude,depth,최대,latitude,longitude,location,map,details
,,,,진도,,,,,(진도 등)
1664,2025-06-25 5:59,2.2,7,Ⅳ,36.85 N,127.60 E,충북 증평군 북북동쪽 7km 지역,지도,상세정보
1663,2025-06-22 18:10,2.2,27,Ⅰ,41.29 N,129.17 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1662,2025-06-22 13:28,2,14,Ⅰ,37.77 N,125.97 E,북한 황해남도 해주 남동쪽 38km 해역,지도,상세정보
1661,2025-06-22 12:00,2.1,16,Ⅰ,41.22 N,129.05 E,북한 함경북도 길주 북서쪽 37km 지역,지도,상세정보
1660,2025-06-16 7:04,2.4,5,Ⅰ,41.32 N,129.16 E,북한 함경북도 길주 북북서쪽 43km 지역,지도,상세정보
1659,2025-06-14 13:58,2.3,11,Ⅲ,36.61 N,129.34 E,경북 영덕군 북쪽 22km 지역,지도,상세정보
1658,2025-06-14 12:22,2,12,Ⅲ,36.60 N,129.35 E,경북 영덕군 북쪽 21km 지역,지도,상세정보
1657,2025-06-13 1:57,2.1,18,Ⅰ,40.67 N,128.29 E,북한 양강도 풍산 남동쪽 20km 지역,지도,상세정보
1656,2025-06-12 21:49,2.7,19,Ⅰ,35.06 N,125.08 E,전남 신안군 흑산도 북서쪽 53km 해역,지도,상세정보
1655,2025-06-10 23:53,2.2,13,Ⅲ,38.33 N,128.58 E,강원 고성군 동남동쪽 11km 해역,지도,상세정보
1654,2025-06-07 3:25,2.2,-,Ⅰ,39.10 N,126.76 E,북한 평안남도 양덕 남동쪽 16km 지역,지도,상세정보
1653,2025-05-28 0:17,2,17,Ⅰ,35.55 N,129.65 E,울산 동구 동북동쪽 22km 해역,지도,상세정보
1652,2025-05-21 10:17,2.1,18,Ⅰ,38.63 N,125.69 E,북한 황해북도 송림 남남동쪽 13km 지역,지도,상세정보
1651,2025-05-19 14:18,2.4,13,Ⅲ,36.18 N,128.26 E,경북 김천시 동북동쪽 14km 지역,지도,상세정보
1650,2025-05-18 13:01,2.4,7,Ⅰ,35.19 N,124.77 E,전남 신안군 흑산도 북서쪽 83km 해역,지도,상세정보
1649,2025-05-10 14:59,2.5,8,Ⅱ,38.13 N,127.09 E,경기 연천군 북북동쪽 4km 지역,지도,상세정보
1648,2025-05-10 13:19,3.3,9,Ⅳ,38.14 N,127.09 E,경기 연천군 북북동쪽 5km 지역,지도,상세정보
1647,2025-05-07 23:08,2.5,16,Ⅲ,35.77 N,129.07 E,경북 경주시 남서쪽 17km 지역,지도,상세정보
